Performance Statistics   2019-07-11 18:36:00 - 2019-07-11 18:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     256,0         256         256         0,0           1
loginWindow#init                                        22,0          22          22         0,0           1
loginWindow#inject                                      62,0          62          62         0,0           1
loginWindow#load                                       485,0         485         485         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         15,5           0          31        15,5           2
mainWindow#create                                       11,0          11          11         0,0           1
mainWindow#init                                         13,0          13          13         0,0           1
mainWindow#inject                                       11,0          11          11         0,0           1
mainWindow#load                                        275,0         275         275         0,0           1
mainWindow#xml                                           2,0           0           4         2,0           2

Performance Statistics   2019-07-11 18:48:00 - 2019-07-11 18:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     300,0         300         300         0,0           1
loginWindow#init                                        20,0          20          20         0,0           1
loginWindow#inject                                      57,0          57          57         0,0           1
loginWindow#load                                       535,0         535         535         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                          7,5           0          15         7,5           2
mainWindow#create                                       11,0          11          11         0,0           1
mainWindow#init                                         14,0          14          14         0,0           1
mainWindow#inject                                       12,0          12          12         0,0           1
mainWindow#load                                        384,0         384         384         0,0           1
mainWindow#xml                                           1,5           0           3         1,5           2

Performance Statistics   2019-07-11 18:56:00 - 2019-07-11 18:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary$UserClass.browse               102,0         102         102         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     156,0         156         156         0,0           1
loginWindow#init                                        23,0          23          23         0,0           1
loginWindow#inject                                      58,0          58          58         0,0           1
loginWindow#load                                       522,0         522         522         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                          4,0           0           8         4,0           2
lookupWindowActions#create                              12,5           0          25        12,5           2
lookupWindowActions#inject                               2,0           0           4         2,0           2
lookupWindowActions#load                                 3,5           2           5         1,5           2
lookupWindowActions#xml                                  0,2           0           2         0,6          12
mainWindow#afterShow                                     6,0           6           6         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                        9,0           9           9         0,0           1
mainWindow#init                                         11,0          11          11         0,0           1
mainWindow#inject                                       10,0          10          10         0,0           1
mainWindow#load                                        198,0         198         198         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           1,0           0           2         1,0           2
sec$User.browse#afterShow                                1,0           0           2         1,0           2
sec$User.browse#beforeShow                               0,0           0           0         0,0           2
sec$User.browse#create                                   7,0           0          14         7,0           2
sec$User.browse#init                                     3,5           0           7         3,5           2
sec$User.browse#inject                                   6,5           0          13         6,5           2
sec$User.browse#load                                   270,5          10         531       260,5           2
sec$User.browse#uiPermissions                            0,0           0           0         0,0           2
sec$User.browse#xml                                      1,2           0           5         1,9           5
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           2
sec$User.browse@usersDs                                190,5          17         364       173,5           2

Performance Statistics   2019-07-11 19:00:00 - 2019-07-11 19:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Book.browse                    618,0         618         618         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     202,0         202         202         0,0           1
loginWindow#init                                        19,0          19          19         0,0           1
loginWindow#inject                                      51,0          51          51         0,0           1
loginWindow#load                                       531,0         531         531         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                          4,0           0           8         4,0           2
mainWindow#afterShow                                     5,0           5           5         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       10,0          10          10         0,0           1
mainWindow#init                                         12,0          12          12         0,0           1
mainWindow#inject                                       12,0          12          12         0,0           1
mainWindow#load                                        237,0         237         237         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           1,5           0           3         1,5           2
utilitylibrary_Book.browse#afterShow                     2,0           2           2         0,0           1
utilitylibrary_Book.browse#beforeShow                   21,0          21          21         0,0           1
utilitylibrary_Book.browse#create                       14,0          14          14         0,0           1
utilitylibrary_Book.browse#init                          3,0           3           3         0,0           1
utilitylibrary_Book.browse#inject                        1,0           1           1         0,0           1
utilitylibrary_Book.browse#load                        484,0         484         484         0,0           1
utilitylibrary_Book.browse#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Book.browse#xml                           4,0           4           4         0,0           1

Performance Statistics   2019-07-11 20:34:00 - 2019-07-11 20:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary$UserClass.browse              2436,0        2436        2436         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     256,0         256         256         0,0           1
loginWindow#init                                        32,0          32          32         0,0           1
loginWindow#inject                                      75,0          75          75         0,0           1
loginWindow#load                                       855,0         855         855         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         11,5           0          23        11,5           2
lookupWindowActions#create                              61,0          61          61         0,0           1
lookupWindowActions#inject                              18,0          18          18         0,0           1
lookupWindowActions#load                                29,0          29          29         0,0           1
